stage	production_file	recovered_from_session	executed_utc	original_scratch_path	what_it_does	writes
06	production/stage06/s06a_cluster_de_top_genes.sh	77d8225f	2026-08-25T05:01:37Z	(inline heredoc executed directly from the shell)	cluster-level DE marker table	results/06_annotation/cluster_de_top_genes.csv
06	production/stage06/s06b_lineage_contradiction.sh	77d8225f	2026-08-25T05:27:12Z	(inline heredoc executed directly from the shell)	per-method lineage-contradiction tables	results/06_annotation/lineage_contradiction_*.csv
06	production/stage06/s06c_manual_cluster_adjudication.sh	77d8225f	2026-08-25T05:46:58Z	(inline heredoc executed directly from the shell)	manual cluster adjudication	results/06_annotation/manual_cluster_adjudication.csv
06	production/stage06/s06d_veto_states.sh	77d8225f	2026-08-25T05:58:58Z	(inline heredoc executed directly from the shell)	per-class veto states	results/06_annotation/veto_states.csv
06	production/stage06/s06e_paper_benchmark_markers.sh	77d8225f	2026-08-25T10:49:25Z	(inline heredoc executed directly from the shell)	paper-annotation benchmark, marker detection	results/06_annotation/paper_annotation_benchmark/*
06	production/stage06/s06f_paper_benchmark_failure_modes.sh	77d8225f	2026-08-25T10:49:53Z	(inline heredoc executed directly from the shell)	paper-annotation benchmark, failure modes	results/06_annotation/paper_annotation_benchmark/*
06	production/stage06/s06g_cluster23_local.py	77d8225f	2026-08-25T10:57:54Z	/tmp/claude-1000/-media-wrath-CART-mm-dual-antigen/77d8225f-3278-4204-8b06-7f58a1d38646/scratchpad/s06/c23_local.py	cluster-23 local subclustering	results/06_annotation/cluster23_local/*
06	production/stage06/s06h_trbc_diagnostic.py	77d8225f	2026-08-25T11:06:36Z	/tmp/claude-1000/-media-wrath-CART-mm-dual-antigen/77d8225f-3278-4204-8b06-7f58a1d38646/scratchpad/s06/trbc_diag.py	TRBC1/2 context diagnostic	results/06_annotation/cluster23_local/trbc_diagnostic/*
06	production/stage06/s06i_trbc_context_revision.sh	77d8225f	2026-08-25T11:15:17Z	(inline heredoc executed directly from the shell)	accepted TRBC-context revision of cluster 23	results/06_annotation/cluster23_local/trbc_context_revision/*
07	production/stage07/s07a_cnv_reference_availability_and_gate.sh	77d8225f	2026-08-25T11:29:44Z	(inline heredoc executed directly from the shell)	CNV reference availability per sample and the per-patient CNV gate	results/07_malignant_plasma/cnv_gate_by_patient.csv; cnv_reference_availability_by_sample.csv; cnv_negative_result/donor_cnv_calibration_feasibility.csv
07	production/stage07/s07b_light_chain_dominance.sh	77d8225f	2026-08-25T11:30:58Z	(inline heredoc executed directly from the shell)	ratio-based kappa/lambda restriction; donor calibration	results/07_malignant_plasma/plasma_light_chain_percell.csv.gz; patient_light_chain_D.csv; donor_light_chain_calibration.csv
07	production/stage07/s07c_cnv_input_gene_set.sh	77d8225f	2026-08-25T11:52:51Z	(inline heredoc executed directly from the shell)	CNV input gene set and exclusions (antigens excluded by construction)	results/07_malignant_plasma/cnv_negative_result/cnv_input_gene_set.tsv.gz; cnv_excluded_genes.tsv.gz
07	production/stage07/s07d_donor_cnv_calibration.py	77d8225f	2026-08-25T11:53:30Z	/tmp/claude-1000/-media-wrath-CART-mm-dual-antigen/77d8225f-3278-4204-8b06-7f58a1d38646/scratchpad/s06/donor_cnv.py	infercnvpy donor negative-control calibration -> CNV rejected as NOT_EVALUABLE	results/07_malignant_plasma/cnv_negative_result/donor_cnv_calibration.csv; donor_cnv_cells_<sample>.csv.gz
07	production/stage07/s07e_ig_vj_audit.py	77d8225f	2026-08-25T15:33:06Z	/tmp/claude-1000/-media-wrath-CART-mm-dual-antigen/77d8225f-3278-4204-8b06-7f58a1d38646/scratchpad/s06/vj_audit.py	IG V/J capture audit; J segments shown uncapturable at 3-prime	results/07_malignant_plasma/ig_clone_feasibility/ig_gene_availability.csv; ig_vj_detection_per_cell.csv.gz; patient_vj_summary.csv; cross_patient_specificity.csv
07	production/stage07/s07f_ig_vj_donor_and_repeated.py	77d8225f	2026-08-25T15:34:35Z	/tmp/claude-1000/-media-wrath-CART-mm-dual-antigen/77d8225f-3278-4204-8b06-7f58a1d38646/scratchpad/s06/vj_audit2.py	donor V/J summary, repeated-sample consistency, V evaluability	results/07_malignant_plasma/ig_clone_feasibility/normal_donor_vj_summary.csv; repeated_sample_vj_consistency.csv; vj_evaluability.csv
07	production/stage07/s07g_candidate_clone_signatures.sh	77d8225f	2026-08-25T15:35:26Z	(inline heredoc executed directly from the shell)	candidate per-patient clone signatures	results/07_malignant_plasma/ig_clone_feasibility/candidate_clone_signatures.csv
